Номер поручения;Предложенная команда
11134;['Пастушок', 'Мартин', 'Бендер', 'Агата']
11056;['Синеглазый', 'Соня', 'Юлия']
11381;['Агата']
11311;['Пастушок', 'Синеглазый', 'Соня']
11417;['Пастушок', 'Синеглазый', 'Соня']
11310;['Глюкоза']
11285;['Пастушок']
11218;['Мартин', 'Фредерик']
11161;['Пастушок']
11387;['Пастушок']
11143;['Агата']
11232;['Мартин', 'Глюкоза', 'Фредерик']
11234;['Глюкоза', 'Бендер']
11396;['Соня', 'Глюкоза', 'Бендер']
11428;['Глюкоза', 'Бендер']
11402;['Пастушок', 'Соня']
11306;['Мартин', 'Глюкоза']
11438;['Пастушок']
11462;['Мартин', 'Глюкоза', 'Фредерик']
